Player,Age,Position,Nation,Team,Value
Ederson,30,Goalkeeper,Brazil,Manchester City,37.45
Stefan Ortega,31,Goalkeeper,Germany,Manchester City,9.63
Scott Carson,38,Goalkeeper,England,Manchester City,0.21
Rúben Dias,27,Centre-Back,Portugal,Manchester City,85.6
Manuel Akanji,28,Centre-Back,Switzerland,Manchester City,48.15
Nathan Aké,29,Centre-Back,Netherlands,Manchester City,42.8
John Stones,30,Centre-Back,England,Manchester City,40.66
Taylor Harwood-Bellis,22,Centre-Back,England,Manchester City,23.54
Josko Gvardiol,22,Left-Back,Croatia,Manchester City,80.25
Sergio Gómez,23,Left-Back,Spain,Manchester City,10.7
Josh Wilson-Esbrand,21,Left-Back,England,Manchester City,4.28
Rico Lewis,19,Right-Back,England,Manchester City,40.66
Kyle Walker,34,Right-Back,England,Manchester City,13.91
Issa Kaboré,23,Right-Back,Burkina Faso,Manchester City,10.7
Rodri,28,Defensive Midfield,Spain,Manchester City,128.4
Matheus Nunes,25,Central Midfield,Portugal,Manchester City,53.5
Mateo Kovacic,30,Central Midfield,Croatia,Manchester City,32.1
James McAtee,21,Central Midfield,England,Manchester City,12.84
Bernardo Silva,29,Attacking Midfield,Portugal,Manchester City,74.9
Kevin De Bruyne,32,Attacking Midfield,Belgium,Manchester City,53.5
Jérémy Doku,22,Left Winger,Belgium,Manchester City,69.55
Jack Grealish,28,Left Winger,England,Manchester City,64.2
Phil Foden,24,Right Winger,England,Manchester City,160.5
Oscar Bobb,20,Right Winger,Norway,Manchester City,26.75
Erling Haaland,23,Centre-Forward,Norway,Manchester City,192.6
Julián Álvarez,24,Centre-Forward,Argentina,Manchester City,96.3
David Raya,28,Goalkeeper,Spain,Arsenal FC,37.45
Aaron Ramsdale,26,Goalkeeper,England,Arsenal FC,26.75
Karl Hein,22,Goalkeeper,Estonia,Arsenal FC,2.14
Arthur Okonkwo,22,Goalkeeper,England,Arsenal FC,1.93
William Saliba,23,Centre-Back,France,Arsenal FC,85.6
Gabriel Magalhães,26,Centre-Back,Brazil,Arsenal FC,74.9
Jurrien Timber,23,Centre-Back,Netherlands,Arsenal FC,40.66
Oleksandr Zinchenko,27,Left-Back,Ukraine,Arsenal FC,40.66
Jakub Kiwior,24,Left-Back,Poland,Arsenal FC,32.1
Ben White,26,Right-Back,England,Arsenal FC,58.85
Takehiro Tomiyasu,25,Right-Back,Japan,Arsenal FC,37.45
